0.45*0(0),0.3*0(0),0.15*0(0),0.1*38(0),0.045*32(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*52(0),0.045*33(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*0(0),0.1*31(0),0.045*25(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*30(0),0.045*30(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*65(0),0.045*17(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*55(0),0.045*22(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*63(0),0.045*8(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*56(0),0.045*19(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*57(0),0.045*14(0),0.015*0(0)
0.45*0(0),0.3*11(0),0.15*3(0),0.1*38(0),0.045*11(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*50(0),0.045*19(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*50(0),0.045*21(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*70(0),0.045*17(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*48(0),0.045*19(0),0.015*0(0)
0.45*0(0),0.3*7(0),0.15*0(0),0.1*64(0),0.045*18(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*67(1),0.045*11(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*60(0),0.045*9(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*58(0),0.045*10(1),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*55(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*52(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*53(0),0.045*17(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*82(0),0.045*11(0),0.015*0(0)
0.45*0(0),0.3*5(0),0.15*0(0),0.1*48(0),0.045*10(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*59(0),0.045*6(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*0(0),0.1*52(0),0.045*6(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*5(0),0.1*44(0),0.045*5(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*13(0),0.1*35(0),0.045*10(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*3(0),0.1*40(0),0.045*12(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*10(0),0.1*30(0),0.045*17(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*8(0),0.1*26(0),0.045*24(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*8(0),0.1*22(0),0.045*26(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*9(0),0.1*44(0),0.045*18(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*48(1),0.045*16(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*10(0),0.1*42(0),0.045*19(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*47(0),0.045*17(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*8(0),0.1*53(0),0.045*14(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*10(0),0.1*44(0),0.045*9(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*14(0),0.1*38(1),0.045*16(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*15(0),0.1*50(0),0.045*6(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*55(0),0.045*21(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*46(0),0.045*14(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*44(0),0.045*14(0),0.015*0(0)
0.45*0(0),0.3*13(0),0.15*0(0),0.1*69(0),0.045*24(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*59(0),0.045*10(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*47(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*44(0),0.045*14(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*45(0),0.045*12(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*34(0),0.045*10(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*65(1),0.045*16(0),0.015*0(0)
0.45*0(0),0.3*2(0),0.15*1(0),0.1*59(1),0.045*12(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*51(1),0.045*23(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*60(0),0.045*7(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*1(0),0.1*35(0),0.045*23(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*52(1),0.045*12(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*56(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*90(0),0.045*5(0),0.015*0(0)
