0.45*0(0),0.3*0(0),0.15*0(0),0.1*27(0),0.045*24(0),0.015*8(0)
0.45*0(0),0.3*2(0),0.15*0(0),0.1*29(0),0.045*18(0),0.015*20(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*6(0),0.045*9(0),0.015*41(0)
0.45*0(0),0.3*4(0),0.15*0(0),0.1*6(0),0.045*35(0),0.015*18(0)
0.45*0(0),0.3*4(0),0.15*0(0),0.1*39(0),0.045*6(0),0.015*14(0)
0.45*0(0),0.3*3(0),0.15*0(0),0.1*17(0),0.045*32(0),0.015*10(0)
0.45*0(0),0.3*0(0),0.15*14(0),0.1*6(0),0.045*16(0),0.015*23(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*17(0),0.045*26(7),0.015*22(0)
0.45*0(0),0.3*3(0),0.15*0(0),0.1*10(0),0.045*32(0),0.015*20(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*9(0),0.045*46(0),0.015*11(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*8(0),0.045*29(0),0.015*26(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*17(0),0.045*17(0),0.015*24(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*48(0),0.045*1(0),0.015*14(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*25(0),0.045*8(0),0.015*25(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*32(0),0.045*2(0),0.015*26(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*4(0),0.045*18(0),0.015*36(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*13(0),0.045*2(0),0.015*54(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*12(0),0.045*15(0),0.015*27(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*11(0),0.045*1(0),0.015*46(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*15(0),0.045*8(0),0.015*44(2)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*7(0),0.045*20(0),0.015*33(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*11(0),0.045*7(0),0.015*50(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*54(0),0.045*0(0),0.015*17(0)
0.45*0(0),0.3*12(0),0.15*0(0),0.1*36(0),0.045*4(0),0.015*18(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*7(0),0.045*11(0),0.015*43(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*16(0),0.045*38(0),0.015*9(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*27(0),0.045*24(0),0.015*12(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*32(0),0.045*14(0),0.015*15(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*39(0),0.045*14(0),0.015*1(0)
0.45*0(0),0.3*0(0),0.15*8(0),0.1*34(0),0.045*11(0),0.015*12(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*21(0),0.045*14(0),0.015*23(0)
0.45*0(0),0.3*0(0),0.15*22(0),0.1*16(0),0.045*14(0),0.015*10(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*23(0),0.045*10(0),0.015*26(0)
0.45*0(0),0.3*0(0),0.15*12(0),0.1*23(0),0.045*17(0),0.015*5(0)
0.45*0(0),0.3*0(0),0.15*7(0),0.1*33(0),0.045*13(0),0.015*10(0)
0.45*0(0),0.3*0(0),0.15*15(0),0.1*24(0),0.045*10(0),0.015*16(0)
0.45*0(0),0.3*5(0),0.15*7(0),0.1*36(0),0.045*13(0),0.015*9(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*25(0),0.045*14(0),0.015*17(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*42(0),0.045*17(0),0.015*10(0)
0.45*0(0),0.3*1(0),0.15*2(0),0.1*31(0),0.045*10(0),0.015*16(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(0),0.045*10(0),0.015*21(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*35(0),0.045*15(0),0.015*11(0)
0.45*0(0),0.3*0(0),0.15*11(0),0.1*16(0),0.045*16(0),0.015*25(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*6(0),0.045*49(0),0.015*7(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*6(0),0.045*4(0),0.015*52(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*30(0),0.045*2(0),0.015*31(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*45(0),0.045*0(0),0.015*16(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*34(0),0.045*0(0),0.015*34(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*6(0),0.045*3(0),0.015*51(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*37(0),0.045*1(0),0.015*26(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*56(0),0.045*2(0),0.015*11(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*46(1),0.045*7(0),0.015*13(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*40(0),0.045*9(0),0.015*15(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*21(0),0.045*1(0),0.015*43(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*9(0),0.045*11(0),0.015*46(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*37(0),0.045*2(0),0.015*29(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*36(0),0.045*7(0),0.015*23(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*36(0),0.045*0(0),0.015*29(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*21(0),0.045*24(0),0.015*20(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*51(0),0.045*0(0),0.015*17(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*1(0),0.045*19(0),0.015*42(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*6(0),0.045*0(0),0.015*56(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*37(0),0.045*1(0),0.015*18(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*35(0),0.045*16(0),0.015*16(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*37(0),0.045*11(0),0.015*13(0)
0.45*0(0),0.3*2(0),0.15*4(0),0.1*34(0),0.045*15(0),0.015*6(2)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*4(0),0.045*32(0),0.015*25(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*39(0),0.045*5(0),0.015*17(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*9(0),0.045*9(0),0.015*40(0)
0.45*2(0),0.3*6(0),0.15*13(0),0.1*22(0),0.045*16(0),0.015*2(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*43(0),0.045*9(0),0.015*6(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*24(0),0.045*16(0),0.015*19(0)
0.45*0(0),0.3*0(0),0.15*8(0),0.1*24(0),0.045*17(0),0.015*14(0)
0.45*0(0),0.3*0(0),0.15*21(0),0.1*14(0),0.045*11(0),0.015*18(0)
0.45*0(0),0.3*3(0),0.15*2(0),0.1*14(0),0.045*17(0),0.015*33(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*23(0),0.045*13(0),0.015*27(1)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*1(0),0.045*0(0),0.015*61(0)
0.45*0(0),0.3*0(0),0.15*12(0),0.1*0(0),0.045*32(0),0.015*16(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(0),0.045*1(0),0.015*31(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*1(0),0.045*0(0),0.015*65(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*9(0),0.045*7(1),0.015*51(0)
0.45*0(0),0.3*0(0),0.15*21(0),0.1*15(0),0.045*2(0),0.015*39(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*44(0),0.045*0(0),0.015*20(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*43(0),0.045*8(0),0.015*22(0)
0.45*1(0),0.3*0(0),0.15*4(0),0.1*36(0),0.045*7(0),0.015*15(0)
0.45*0(0),0.3*5(0),0.15*0(0),0.1*31(0),0.045*12(0),0.015*19(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*42(0),0.045*10(0),0.015*16(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*35(0),0.045*7(0),0.015*19(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(0),0.045*14(0),0.015*19(0)
0.45*0(0),0.3*0(0),0.15*25(0),0.1*13(0),0.045*17(0),0.015*10(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*27(0),0.045*8(0),0.015*29(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*29(0),0.045*14(0),0.015*16(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*24(0),0.045*25(0),0.015*10(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*54(0),0.045*7(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*60(0),0.045*7(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*35(0),0.045*6(0),0.015*27(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*28(0),0.045*40(0),0.015*0(0)
0.45*0(0),0.3*10(0),0.15*0(0),0.1*44(0),0.045*8(0),0.015*1(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*36(0),0.045*6(0),0.015*19(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*9(0),0.045*7(0),0.015*43(0)
0.45*0(0),0.3*0(0),0.15*11(0),0.1*37(0),0.045*5(0),0.015*9(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*45(0),0.045*15(0),0.015*4(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*52(0),0.045*9(0),0.015*5(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*30(0),0.045*17(0),0.015*12(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*28(0),0.045*6(0),0.015*29(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*48(0),0.045*10(0),0.015*21(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*26(0),0.045*24(0),0.015*17(0)
0.45*0(0),0.3*3(0),0.15*0(0),0.1*43(0),0.045*10(0),0.015*17(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*24(0),0.045*8(0),0.015*6(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*32(0),0.045*0(0),0.015*41(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*41(0),0.045*6(0),0.015*13(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*51(0),0.045*8(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*41(0),0.045*9(0),0.015*12(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*27(0),0.045*8(0),0.015*26(0)
0.45*0(0),0.3*27(0),0.15*3(0),0.1*8(0),0.045*12(0),0.015*10(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*14(0),0.045*16(0),0.015*37(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*44(0),0.045*20(0),0.015*1(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*46(0),0.045*10(0),0.015*4(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*7(0),0.045*22(0),0.015*29(0)
0.45*0(0),0.3*5(0),0.15*0(0),0.1*55(0),0.045*7(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*49(0),0.045*11(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*46(0),0.045*1(0),0.015*14(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*44(0),0.045*9(0),0.015*18(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*51(0),0.045*7(0),0.015*17(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*47(0),0.045*7(0),0.015*22(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*37(0),0.045*23(0),0.015*5(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*57(0),0.045*6(0),0.015*1(0)
0.45*0(0),0.3*1(0),0.15*0(0),0.1*19(0),0.045*35(0),0.015*11(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*38(0),0.045*5(0),0.015*18(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*62(0),0.045*6(0),0.015*5(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*33(0),0.045*15(0),0.015*24(0)
0.45*0(0),0.3*0(0),0.15*13(0),0.1*30(0),0.045*16(0),0.015*3(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*36(0),0.045*18(0),0.015*12(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*23(0),0.045*20(0),0.015*11(0)
0.45*0(0),0.3*0(0),0.15*11(0),0.1*21(0),0.045*26(0),0.015*11(0)
0.45*0(0),0.3*0(0),0.15*15(0),0.1*14(0),0.045*26(0),0.015*4(0)
0.45*0(0),0.3*0(0),0.15*12(0),0.1*14(0),0.045*31(0),0.015*5(0)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*29(0),0.045*21(0),0.015*10(0)
0.45*0(0),0.3*0(0),0.15*14(0),0.1*12(0),0.045*27(0),0.015*6(0)
0.45*0(0),0.3*0(0),0.15*5(0),0.1*28(0),0.045*26(0),0.015*5(0)
0.45*0(0),0.3*0(0),0.15*7(0),0.1*29(0),0.045*19(0),0.015*5(0)
0.45*0(0),0.3*0(0),0.15*12(0),0.1*21(0),0.045*25(0),0.015*11(0)
0.45*0(0),0.3*0(0),0.15*9(0),0.1*29(0),0.045*21(0),0.015*1(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*32(0),0.045*0(0),0.015*25(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*22(0),0.045*32(0),0.015*14(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*46(0),0.045*9(0),0.015*12(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*46(0),0.045*12(0),0.015*1(0)
0.45*0(0),0.3*41(0),0.15*0(0),0.1*21(0),0.045*20(0),0.015*1(0)
